"Parameter","Environment","Ab_BP","Ab_BPsd","Ab_BPCIl","Ab_BPCIu","v1970","v2010","p","R2"
"Biomass","2016/QLB/HN_WF_RF",0.301349577611462,0.0227609144242022,0.256437039708332,0.346262115514591,209.130300990999,221.184284095457,0,0.49
"Biomass","2016/QLB/LN_NF_RF",0.785533635527991,0.042512671254232,0.701646322238033,0.869420948817949,132.369732012257,163.791077433376,0,0.65
"Biomass","2017/GGE/HN_NF_RF",0.207894300296129,0.0206301085394468,0.167186334242782,0.248602266349477,139.920247194371,148.236019206216,0,0.36
"Biomass","2017/GGE/HN_WF_RF",0.33288228403865,0.0237746192138282,0.285969472599135,0.379795095478165,130.052190575085,143.367481936631,0,0.52
"Biomass","2017/GGE/LN_NF_RF",0.169299279608587,0.011580296705724,0.146448681208539,0.192149878008636,133.961339412433,140.733310596776,0,0.54
"Biomass","2017/HAN/HN_NF_RF",0.405281986619809,0.0287559360479804,0.348539887263659,0.462024085975958,115.765792389807,131.9770718546,0,0.52
"Biomass","2017/HAN/HN_WF_RF",0.384724224914472,0.0275028638967152,0.330454726150732,0.438993723678212,127.011231996504,142.400200993082,0,0.52
"Biomass","2017/HAN/LN_NF_RF",0.271976190374164,0.0188961775454615,0.234689670403227,0.309262710345101,111.327752091563,122.206799706529,0,0.54
"Biomass","2017/KAL/HN_NF_RF",0.363456303675091,0.0414860902800875,0.281594671605694,0.445317935744488,161.038253974918,175.576506121922,0,0.3
"Biomass","2017/KAL/HN_WF_RF",0.0176257441718824,0.0173130894970423,-0.0165369776662776,0.0517884660100424,177.62533930076,178.330369067636,1e-04,0.01
"Biomass","2017/KAL/LN_NF_RF",-0.113387995990872,0.0207657185158815,-0.154363551829637,-0.072412440152107,142.346328349262,137.810808509627,0,0.14
"Biomass","2017/KIE/HN_NF_RF",0.411091654304109,0.0306865868930531,0.350532988407679,0.471650320200538,131.23776090767,147.681427079835,0,0.5
"Biomass","2017/KIE/HN_WF_RF",0.426162427814699,0.0220095862631348,0.382730791645052,0.469594063984345,146.154569023637,163.201066136225,0,0.68
"Biomass","2017/KIE/LN_NF_RF",0.380322727198809,0.0226128743799486,0.335695442005102,0.424950012392516,117.073779001437,132.286688089389,0,0.62
"Biomass","2017/QLB/HN_NF_RF",0.433975845798618,0.0471060420170381,0.341024751737695,0.526926939859541,132.150405512396,149.509439344341,0,0.32
"Biomass","2017/QLB/HN_WF_RF",-0.081425987746295,0.0317387333057459,-0.14405383459044,-0.0187981409021498,193.094778360316,189.837738850464,0,0.04
"Biomass","2017/QLB/LN_NF_RF",0.366100557901689,0.0224268036144691,0.321847297746646,0.410353818056731,129.901216075053,144.54523839112,0,0.6
"Biomass_bio","2015/GGE/HN_WF_RF",2.12219840220841,0.272004864775217,1.58547001900854,2.65892678540827,1168.01024665403,1252.89818274236,0,0.25
"Biomass_bio","2015/HAN/HN_NF_RF",6.2857018007118,0.556417461149824,5.18776171587576,7.38364188554785,1612.20845418082,1863.63652620929,0,0.41
"Biomass_bio","2015/HAN/HN_WF_RF",4.20644744503313,0.511780665955626,3.19658606031741,5.21630882974885,2181.70113980265,2349.95903760397,0,0.27
"Biomass_bio","2015/HAN/LN_NF_RF",5.73047886846278,0.630129646654798,4.48708762715235,6.97387010977321,1743.49086538054,1972.71002011905,0,0.31
"Biomass_bio","2015/KAL/HN_NF_RF",6.65037042911781,0.801806349976877,5.0680399134723,8.23270094476332,1438.15511871736,1704.16993588207,0,0.28
"Biomass_bio","2015/KAL/HN_WF_RF",-1.22085652989846,0.425377516822982,-2.06025629527924,-0.381456764517681,1832.51292959639,1783.67866840045,0,0.04
"Biomass_bio","2015/KAL/LN_NF_RF",2.27504494013387,0.349179638146553,1.58595386858363,2.9641360116841,1019.93945821536,1110.94125582071,0,0.19
"Biomass_bio","2015/KIE/HN_NF_RF",4.57021197065615,0.359431831104972,3.86097000272678,5.27945393858553,1571.32306414894,1754.13154297518,0,0.47
"Biomass_bio","2015/KIE/HN_WF_RF",1.11686634050772,0.282518860598257,0.559391416676186,1.67434126433925,1759.87100420814,1804.54565782845,0.4367,0.08
